22455596,6071
24878390,15607
23182742,22814
29046264,7354
6633945,1992
6083677,17386
4922097,15650
7866196,17180
4798973,5680
21876714,21867
25395458,38
23023609,7229
10826811,599
3527236,16252
192577,15838
28909599,1814
28333920,17746
8873962,17234
23141656,6212
4751842,16196
27646227,6035
16317,2180
4361347,21871
7195294,6252
3125494,6276
8855121,2149
25407984,1790
21774710,7350
6485422,60
1446502,270
3505590,2235
8905348,5801
6643748,17242
22999757,17617
769958,6304
3510826,17389
3143260,21453
10320219,17174
1275461,688
25227813,16017
20202242,2178
29478645,1
22286239,15664
19526094,1796
1287925,6073
2953381,23269
27633057,5655
22432255,21485
29599502,1643
22319308,5715
8871698,1633
3007659,23182
561138,5663
3678120,15866
1991650,16071
28232228,7638
22327339,242
19346641,5686
20016465,5855
4369004,507
22974350,21630
23526915,416
6512597,6074
6499875,596
23166242,17618
23549543,6212
28229153,2237
4245439,6255
29481749,6116
20766962,681
10263115,1590
7360684,16236
23179116,455
28193623,16070
28191146,6269
564246,15684
24834652,17600
49530,5892
7764440,7622
10863157,2146
10127686,228
10294011,21848
4413038,6092
6111206,7632
10263701,17148
1820684,21305
49772,21640
586665,15664
10827264,651
6496684,1601
2961339,2018
5913228,7812
1446363,60
599826,17779
10297180,92
3678594,17196
10130571,7760
23163706,23398
9045544,21626
5938927,12
3127840,6309
9048472,6224
18983381,17776
178110,15864
26104393,509
6105424,424
1992110,16190
10293780,23204
18953019,1582
18929594,15821
193418,2012
7316588,21396
24847938,21672
22981706,21629
1843625,1560
3541923,21640
26083688,22802
28213725,23446
20185720,23422
21914244,17175
9047712,470
28384240,22985
8905323,21689
10870595,7432
23545393,472
20057538,17229
2988773,15813
22966339,21638
26520486,22795
3529886,6092
7913318,15864
3522092,21277
6641088,6124
742838,7812
4412303,17148
26481618,17608
22448405,475
7869551,23209
6492137,21300
20039804,17781
18967187,6271
753719,7433
4214909,7176
10673134,15836
18957001,7821
1282386,46
4399072,277
19336604,1962
18956722,1990
10142912,6298
4776173,6252
22467748,94
2996533,7379
26687259,5678
561467,16013
6674876,15837
28887157,23005
28364686,17803
8874171,6298
1964624,23226
26652008,7622
7178015,7622
20209278,21904
28232318,7799
2015438,17778
5908877,17600
9575356,6116
769393,21638
3685660,22852
9068776,7641
29440624,7197
18983880,453
24711081,5708
177937,15639
18949645,15661
20739009,1784
26690627,15838
18816621,657
9614500,217
18777723,23204
28912406,23263
24881324,23218
9605466,6217
4391380,1782
20747141,2055
26474038,6118
24699121,21871
19343592,7766
4952770,21908
25411299,16290
3692529,7673
4365899,17739
29040549,17800
18813635,15650
206258,274
9591237,17416
23560126,5855
22968851,2146
2976425,1611
18824551,17359
6121996,7403
23020357,224
6504967,23412
6666803,1785
553682,21841
3669949,5681
10142937,16288
27797038,662
739258,508
6091301,6275
21758487,23237
